weight,2nd,fc
0.71,3136,1024
0.71,0,0
1.0,2597,799
1.0,2598,799
1.0,2599,799
1.0,2600,799
1.0,2601,799
1.0,2602,799
1.0,2603,799
1.0,2604,799
1.0,2605,799
1.0,2606,799
1.0,2607,799
1.0,2608,799
1.0,2609,799
1.0,2610,799
1.0,2611,799
1.0,2612,799
1.0,2613,799
1.0,2614,799
1.0,2615,799
1.0,2616,799
1.0,2617,799
1.0,2618,799
1.0,2619,799
1.0,2620,799
1.0,2621,799
1.0,2622,799
1.0,2623,799
1.0,2624,799
1.0,2625,799
1.0,2626,799
1.0,2627,799
1.0,2628,799
1.0,2629,799
1.0,2630,799
1.0,2631,799
1.0,2632,799
1.0,2633,799
1.0,2634,799
1.0,2635,799
1.0,2636,799
1.0,2637,799
1.0,2638,799
1.0,2639,799
1.0,2640,799
1.0,2641,799
1.0,2642,799
1.0,2643,799
1.0,2644,799
1.0,2645,799
