weight,img,1st
0.41,784,6272
0.41,0,0
0.59388155,599,537
0.62810344,600,538
0.5395897,152,1210
0.5075831,178,1223
0.51113164,610,1327
0.5266806,182,1421
0.64902073,95,2959
0.6509325,96,2960
0.5090906,98,2961
0.5184149,121,2972
0.5494995,122,2973
0.50524276,546,3073
0.6334547,553,3076
0.6471479,554,3077
0.5440507,556,3078
0.5343922,573,3086
0.566943,575,3087
0.594981,577,3088
0.6495641,578,3089
0.5409351,580,3090
0.51356304,153,3170
0.5148376,154,3171
0.56402504,183,3185
0.5267755,541,3266
0.5972206,569,3280
0.60910416,570,3281
0.54519415,600,3282
0.5148408,630,3297
0.5288581,153,3366
0.6883507,155,3367
0.5562846,207,3379
0.67471474,181,3380
0.8227909,182,3381
0.524453,235,3393
0.5191148,540,3462
0.5048274,516,3464
0.54999316,627,3491
0.5747722,657,3492
0.61924416,659,3493
0.6092214,660,3494
0.57058716,662,3495
0.6344755,637,3496
0.61668473,638,3497
0.55505264,640,3498
0.69610524,97,3940
0.62381643,98,3941
0.52459806,125,3954
0.52161175,126,3955
0.51965696,540,4050
0.5559724,571,4065
0.81992394,572,4066
0.69146293,574,4067
0.5603516,577,4068
0.61558515,579,4069
0.59281397,580,4070
0.5850342,582,4071
0.5105605,156,4544
0.60377324,205,4554
0.55764407,206,4555
0.50199044,404,4612
0.50825197,459,4625
0.5300722,629,4668
0.5658315,631,4669
0.5684434,632,4670
0.66162,95,4919
0.8267629,97,4920
0.8305685,98,4921
0.6784642,100,4922
0.5065945,149,4932
0.91732603,150,4933
0.8537785,124,4934
0.8312745,126,4935
0.67687964,129,4936
0.6138445,177,4946
0.707964,178,4947
0.5281501,211,4949
0.70987505,212,4950
0.9156791,267,4963
0.8230516,240,4964
0.7032955,321,4976
0.87079674,322,4977
0.54772997,296,4978
0.8975475,349,4990
0.75025654,350,4991
0.8654032,431,5003
0.9154205,404,5004
0.53845096,485,5016
0.9550757,486,5017
0.61171806,460,5018
0.7853198,541,5030
1.0,514,5031
0.6279059,516,5032
0.6488071,547,5033
0.6506853,549,5034
0.58200616,550,5035
0.6940719,553,5036
0.6963063,555,5037
0.689074,556,5038
0.50014824,558,5039
0.6345936,569,5044
0.7248157,571,5045
0.8637844,573,5046
0.9011151,574,5047
0.87661576,576,5048
0.76150465,578,5049
0.73777884,581,5050
0.71312493,583,5051
0.6477045,584,5052
