weight,1st,2nd
0.41,6272,3136
0.41,0,0
0.8329309,4921,248
0.5011341,4922,249
0.5065851,4962,262
0.5994974,5002,268
0.60747576,5016,275
0.5110969,5036,278
0.7227075,5038,279
0.63833493,4908,298
0.5226128,5050,334
0.6888458,4947,450
0.5993561,4934,451
0.5414719,3454,474
0.6809546,5038,671
0.58090353,4918,737
0.75598514,3380,843
0.60711384,3210,849
0.5601704,4978,851
0.5036599,5001,855
0.7841082,5005,857
0.59802645,1478,858
0.52414006,5995,862
0.78698534,5018,864
0.5498071,3453,865
0.6116435,4964,900
0.5502264,5033,913
0.5698514,3492,920
0.5619876,4950,1040
0.5702087,5031,1059
0.8819234,5045,1066
0.5163508,4918,1080
0.74334913,4907,1081
0.69296014,3381,1088
0.6855943,4951,1089
0.60996324,4964,1096
0.51484275,3424,1103
0.7607516,5032,1109
0.54582,5034,1110
0.6378687,5037,1111
0.51228434,5024,1112
0.54485893,3499,1119
0.53135556,3337,1129
0.6142072,4907,1130
0.78415436,4923,1131
0.6106191,4937,1138
0.6838164,5033,1158
0.7436217,5034,1159
0.525237,5025,1161
0.5507635,5925,1184
0.50548667,3381,1186
0.73172337,4975,1192
0.687365,4962,1193
0.7104776,4989,1199
0.68844235,6009,1205
0.51366615,5016,1206
0.63738585,5042,1212
0.65721416,4903,1226
0.71119434,1180,1227
0.66289777,4906,1228
0.5324159,4934,1235
0.6213151,4977,1242
0.5054788,480,1248
0.51269597,5005,1249
0.7969949,5031,1255
0.822078,5018,1256
0.7259437,5020,1257
0.55235445,3454,1258
0.64496493,4919,1276
0.97244984,4920,1277
0.57460535,4922,1278
0.54226226,4910,1279
0.5153731,4964,1292
0.5260228,5003,1297
0.6333536,5004,1298
0.73218095,5030,1304
0.5175814,5033,1305
0.6906311,5035,1306
0.8080611,5037,1307
0.75252324,5038,1308
0.7053028,4919,1325
0.70179456,4920,1326
0.5937751,5911,1331
0.9414983,4946,1332
1.0,3380,1333
0.5128927,4950,1334
0.6049486,1235,1338
0.7083461,3392,1339
0.73082674,4962,1340
0.52751666,4964,1341
0.57071126,4007,1345
0.7583221,5002,1346
0.7836722,4990,1347
0.6480512,5995,1352
0.9202549,5030,1353
0.7097224,3451,1354
0.51655865,5020,1355
0.65252376,3454,1356
0.5157329,5024,1357
0.6309731,6023,1359
0.8606421,5044,1360
0.7600281,5046,1361
0.56598234,5049,1362
0.60486186,5050,1363
0.6353541,5028,1401
0.56507504,6023,1408
0.5278049,3381,1431
0.506548,4936,1432
0.5749262,4963,1438
0.529428,4989,1444
0.6587556,5020,1453
0.5772019,5047,1459
0.7808554,3381,1480
0.7146317,3493,1508
0.6752889,3494,1509
0.5697926,3496,1510
0.5188806,3507,1515
0.6192069,4933,1577
0.6186288,5049,1607
0.65311253,5050,1608
0.5482912,4922,1621
0.5990023,4947,1675
0.6618327,5031,1696
0.6231849,3491,1703
0.6958348,3493,1704
0.8302289,3494,1705
0.66656435,3496,1706
0.60106975,4924,1769
0.6065545,4951,1775
0.62571734,4938,1776
0.71973693,457,1782
0.51249695,3424,1789
0.5209359,5039,1798
0.663935,3493,1802
0.72219336,3494,1803
0.69014275,5050,1804
0.61072594,5052,1805
0.5191893,4950,1824
0.5483325,3497,1853
0.78951615,3498,1854
0.8556576,4946,1920
0.5475265,3392,1927
0.57413286,5016,1941
0.5462283,4946,1969
0.7540172,3491,1997
0.5397733,3493,1998
0.5697498,3494,1999
0.60748833,3496,2000
0.70081896,3505,2004
0.6828972,4951,2118
0.53079003,3393,2123
0.54951185,4962,2124
0.61964864,457,2125
0.57715195,5034,2139
0.5430688,5039,2141
0.5159166,3493,2145
0.6140111,3495,2146
0.51370025,3496,2147
0.7697187,3499,2148
0.6539693,3505,2151
0.7845166,3507,2152
0.8224711,3508,2153
0.68422294,3510,2154
0.751456,5081,2155
0.5814167,4933,2165
0.63368255,4908,2209
0.50633067,3454,2238
0.57453483,3497,2294
0.5157914,1152,2298
0.6132585,3507,2299
0.6912681,3509,2300
0.69069403,3510,2301
0.54579645,3496,2490
0.585799,3498,2491
0.71227086,4923,2552
0.579706,5025,2582
0.5863331,4934,2607
0.6284958,3166,2703
0.7513743,4947,2704
0.51153713,4951,2706
0.85607404,1053,2710
0.9269267,3392,2711
0.54148936,4976,2712
0.627929,457,2713
0.74005306,5000,2717
0.504861,4989,2718
0.5779518,4990,2719
0.60979414,1465,2720
0.6526937,5014,2724
0.6612877,5016,2725
0.5550272,5018,2726
0.56188685,5056,2731
0.6210991,3491,2732
0.56019694,3492,2733
0.6413048,3494,2734
0.6468455,3497,2735
0.50720173,3499,2736
0.53490394,3509,2741
0.5378727,3510,2742
0.5453317,5925,2801
0.5038831,457,2811
0.53717244,4966,2812
0.6412511,5047,2831
0.6257498,5048,2832
0.62549806,3499,2834
0.5951388,3509,2839
0.61342895,3510,2840
0.60456866,5081,2841
0.57393795,4934,2852
0.5845158,5005,2866
0.6944519,5018,2873
0.69377005,4921,2894
0.60296905,4908,2895
0.60456693,4925,2896
0.7787802,4935,2901
0.73685217,4951,2902
0.796202,4938,2903
0.5527221,4977,2908
0.92363286,457,2909
0.71845436,4966,2910
0.5558867,5005,2915
0.7647479,3424,2916
0.5431801,4994,2917
0.74202013,3451,2922
0.9310336,5020,2923
0.53437424,3454,2924
0.58004165,5025,2925
0.83522123,3492,2929
0.8004515,3494,2930
0.77867025,3496,2931
0.61768365,3499,2932
0.68275535,4922,2993
0.5492731,5039,3023
0.55396825,3380,3048
0.54806995,4975,3054
0.6151264,5002,3061
0.73136574,5030,3068
0.53102016,4933,3096
0.5725866,5038,3121
