weight,fc,result
0.0011,1024,10
0.0011,0,0
0.01482779,0,2
0.13256378,5,2
0.1035338,6,2
0.17588371,11,2
0.40404266,16,2
0.006879939,24,2
0.012606354,25,2
0.21019875,32,2
0.026340967,33,2
0.14230338,35,2
0.018138517,36,2
0.01421154,38,2
0.19514629,41,2
0.24976686,42,2
0.013443097,46,2
0.0477769,47,2
0.009864008,48,2
0.11579501,50,2
0.06386279,53,2
0.07937446,58,2
0.074841425,61,2
0.039625045,64,2
0.389111,69,2
0.067843914,70,2
0.016512139,73,2
0.06849557,80,2
0.0128658535,81,2
0.30539483,91,2
0.032662567,99,2
0.020170111,100,2
0.073662885,107,2
0.027314076,113,2
0.022839,116,2
0.008906893,119,2
0.018169995,120,2
0.021462468,121,2
0.1332046,126,2
0.018269332,129,2
0.13821185,136,2
0.018605515,137,2
0.19719727,150,2
0.36601958,151,2
0.09722663,153,2
0.10906846,155,2
0.009083978,161,2
0.024053581,163,2
0.49094346,172,2
0.05956579,173,2
0.017040282,180,2
0.11959835,192,2
0.4217558,198,2
0.16524218,200,2
0.20296776,203,2
0.07071988,204,2
0.0998239,209,2
0.005489172,213,2
0.036261264,220,2
0.021745015,232,2
0.034326922,240,2
0.32377172,245,2
0.21074529,250,2
0.009489869,256,2
0.13476527,257,2
0.06372404,262,2
0.093629226,272,2
0.022290027,274,2
0.15646334,283,2
0.094095096,291,2
0.02060191,293,2
0.13163051,294,2
0.28114572,296,2
0.107597485,302,2
0.3359897,311,2
0.030765377,314,2
0.009562311,315,2
0.2619325,316,2
0.02572992,317,2
0.30423498,326,2
0.33539736,330,2
0.064016074,331,2
0.26511478,336,2
0.089557335,337,2
0.12350564,342,2
0.0059900964,343,2
0.34352252,359,2
0.42329797,364,2
0.030528909,367,2
0.03468631,369,2
0.014309142,370,2
0.17238145,373,2
0.097541936,382,2
0.10506305,383,2
0.23195289,389,2
0.057981305,397,2
0.030911164,399,2
0.08179549,400,2
0.10952603,410,2
0.09951451,414,2
0.08519721,416,2
0.030358182,419,2
0.008186243,420,2
0.16712055,425,2
0.25060788,433,2
0.118492916,439,2
0.13772057,440,2
0.26721585,443,2
0.14020914,444,2
0.13827863,446,2
0.14952709,452,2
0.15200055,453,2
0.016414508,454,2
0.015268749,455,2
0.005899706,456,2
0.25033832,460,2
0.02585203,461,2
0.044406954,463,2
0.007837612,466,2
0.35948545,473,2
0.21856177,476,2
0.16173828,477,2
0.024804432,483,2
0.07097011,490,2
0.023491979,491,2
0.18902226,493,2
0.15911672,496,2
0.024219744,523,2
0.05471697,529,2
0.03017484,532,2
0.27217057,538,2
0.06704238,543,2
0.082696244,548,2
0.010682613,549,2
0.15261295,552,2
0.005824693,563,2
0.05749143,565,2
0.027332975,571,2
0.16490176,577,2
0.020183247,579,2
0.045352962,584,2
0.03440658,586,2
0.08353124,596,2
0.034569014,600,2
0.374265,603,2
0.2040148,604,2
0.24653839,611,2
0.28124484,618,2
0.028719988,620,2
0.08895949,623,2
0.11072716,624,2
0.14802511,627,2
0.033295307,631,2
0.07544659,632,2
0.02775688,633,2
0.16254604,641,2
0.112019315,653,2
0.056789435,656,2
0.02644333,657,2
0.11369797,659,2
0.1360447,660,2
0.009040845,662,2
0.051864866,663,2
0.010295903,669,2
0.06668206,673,2
0.006567746,677,2
0.09608995,685,2
0.0332664,694,2
0.054847468,703,2
0.024912117,704,2
0.034028716,711,2
0.32457644,712,2
0.13962911,713,2
0.060388826,721,2
0.115230754,731,2
0.20890176,733,2
0.10883916,737,2
0.44562945,740,2
0.053533457,756,2
0.38673285,764,2
0.23206116,768,2
0.53198934,769,2
0.09290745,770,2
0.027426707,777,2
0.06108864,778,2
0.21634208,785,2
0.102606684,787,2
0.16874033,788,2
0.24853233,789,2
0.042139575,791,2
0.13909297,794,2
0.1353016,798,2
0.046040144,799,2
0.037850365,802,2
0.21049911,803,2
0.11330335,806,2
0.054921225,810,2
0.035334982,826,2
0.045595072,832,2
0.025937159,834,2
0.45467103,836,2
0.011609381,841,2
0.01763525,849,2
0.05856326,854,2
0.057791617,861,2
0.2110907,862,2
0.2453912,866,2
0.04488752,871,2
0.058472574,873,2
0.016674574,874,2
0.07906903,877,2
0.044591546,884,2
0.15939502,894,2
0.07235838,896,2
0.20264976,898,2
0.24555862,899,2
0.104069434,909,2
0.05373363,923,2
0.5229442,925,2
0.4244552,928,2
0.058557414,947,2
0.024760224,951,2
0.40037033,961,2
0.046713017,962,2
0.69617635,968,2
0.24029645,972,2
0.31440336,976,2
0.2816137,979,2
0.032800987,981,2
0.03136178,985,2
0.13242877,986,2
0.050478216,992,2
0.09990516,993,2
0.04885413,995,2
0.06986679,997,2
0.09729458,999,2
0.16043709,1007,2
0.018772656,1009,2
0.38246825,1010,2
0.012156501,1015,2
0.05659317,1020,2
0.05638427,1021,2
0.124535315,1022,2
0.06957926,1023,2
