weight,1st,2nd
0.41,6272,3136
0.41,0,0
0.59852606,4937,256
0.55708855,1135,280
0.53832954,4909,298
0.5340657,4919,443
0.5268423,4936,452
0.59635717,4999,462
0.5915922,5000,463
0.59270155,4989,464
0.5963477,4990,465
0.57830524,5993,469
0.55602616,4978,557
0.68108565,4672,579
0.5058969,4922,641
0.6561844,4953,649
0.5344113,4954,650
0.50239927,4968,657
0.55006015,5023,670
0.6217771,5024,671
0.62751347,4979,753
0.6266838,4980,754
0.5522506,4996,762
0.60033834,4980,803
0.55523264,4994,810
0.77180254,3382,844
0.6506105,4975,849
0.54609406,3213,850
0.53221655,4978,851
0.57704526,4985,854
0.61792177,3419,855
0.6026067,4988,856
0.7004536,291,859
0.6897964,3271,865
0.5226891,4979,900
0.51658785,3490,919
0.5187399,4654,920
0.51760805,5062,921
0.50266427,4966,1048
0.5814294,4921,1081
0.7036404,4922,1082
0.72274303,3397,1096
0.5134273,4966,1097
0.8102194,5008,1104
0.6462324,3271,1110
0.7806835,5022,1111
0.5069486,3481,1117
0.5266073,3482,1118
0.5563445,4921,1130
0.6123081,4924,1132
0.82602394,4939,1139
0.5030052,5001,1149
0.6219984,5003,1150
0.77398115,4990,1151
0.80314803,305,1153
0.5859588,5010,1154
0.51807386,5023,1160
0.5787974,5024,1161
0.5518044,4991,1200
0.6400488,6007,1204
0.7434255,5028,1205
0.54139864,5030,1206
0.5525556,5018,1207
0.54176694,5040,1211
0.64063996,4919,1227
0.7174093,4907,1228
0.5207778,4908,1229
0.56547445,3382,1236
0.6800637,3213,1242
0.6093965,4978,1243
0.5655746,4999,1246
0.81845474,5000,1247
0.69557625,4989,1248
0.5317885,5004,1249
0.8268743,5007,1250
0.52342826,5008,1251
0.69476146,5015,1254
0.57001704,5016,1255
0.7134236,4921,1277
0.6981294,4922,1278
0.5318255,4141,1279
0.93302613,4935,1284
0.6884025,4936,1285
0.64794993,5002,1297
0.64304,5004,1298
0.7199517,5006,1299
0.5635514,5017,1304
0.7543742,5019,1305
0.8555464,5020,1306
0.5541118,5022,1307
0.5393521,3350,1325
0.5677844,4920,1326
0.5782209,4922,1327
0.6483175,4947,1332
0.80659086,4935,1333
0.9318724,4936,1334
0.5251964,4975,1339
0.7591218,3213,1340
0.8156174,4978,1341
0.6209299,4980,1342
0.58501756,4999,1344
0.5915038,3419,1345
0.63738495,4989,1346
0.9264485,4991,1347
1.0,4992,1348
0.644987,5993,1351
0.76039,5014,1352
0.75181055,5030,1353
0.7334489,5032,1354
0.71891433,5020,1355
0.5088095,5036,1356
0.61860126,1317,1358
0.8416335,4650,1359
0.6765895,3476,1360
0.60467654,4654,1361
0.7592609,6007,1400
0.66484654,1317,1407
0.5580192,3383,1432
0.55626446,4979,1439
0.5759982,4980,1440
0.5699722,4991,1445
0.52013046,4994,1447
0.7672008,4996,1448
0.5417249,5014,1450
0.54536843,5017,1451
0.5906211,5018,1452
0.59706324,3397,1488
0.5950287,5031,1500
0.5012947,5018,1501
0.54439336,5036,1503
0.53894013,3477,1507
0.590121,4934,1578
0.74446154,5019,1599
0.5443367,4938,1629
0.5670493,5024,1651
0.54015654,4919,1668
0.5384314,4947,1675
0.78611284,4948,1676
0.6783644,5007,1691
0.89716506,5033,1697
0.8364651,3466,1698
0.52353793,5036,1699
0.64633214,3475,1702
0.896206,3476,1703
0.69695765,4654,1704
0.6946217,3481,1705
0.56511974,4927,1770
0.6098177,4955,1777
0.58058697,473,1783
0.56754625,4968,1784
0.5865541,5011,1791
0.6808563,5033,1795
0.50172347,3466,1796
0.5168241,5077,1810
0.578491,3466,1845
0.55054617,4654,1851
0.7320283,3381,1921
0.5777122,3395,1928
0.5110955,5028,1940
0.56630015,5019,1942
0.5433763,3395,1977
0.69960177,3475,1996
0.65070206,3477,1997
0.5716513,3480,1999
0.7930078,3395,2124
0.61414826,3396,2125
0.69482636,473,2126
0.50263834,4996,2134
0.5015645,5029,2136
0.6162202,5033,2138
0.55903167,3477,2144
0.8042881,3479,2145
0.6353699,3481,2146
0.63214606,3484,2148
0.6435947,3395,2173
0.62667096,4569,2270
0.5120778,3466,2286
0.5302258,3476,2291
0.6051606,4654,2292
0.57668585,3480,2293
0.54041857,3483,2294
0.50494856,3382,2461
0.6163984,5033,2481
0.5335117,3466,2482
0.5196231,5038,2484
0.53408074,3484,2491
0.55234456,4141,2553
0.6141429,4939,2560
0.52059174,4996,2575
0.51433104,3213,2614
0.54449004,4991,2621
0.5525441,3167,2703
0.6431929,4948,2705
0.69656754,4975,2711
0.91095567,3395,2712
0.52628505,473,2714
0.5137328,5003,2718
0.7498591,4990,2719
0.53767836,5007,2720
0.61763906,305,2721
0.58084494,5011,2722
0.59242225,5029,2724
0.55117834,5030,2725
0.68137175,5033,2726
0.6082543,3475,2731
0.67277575,3490,2732
0.58707196,3493,2733
0.58530754,5062,2734
0.5205295,3483,2735
0.5421755,3484,2736
0.6510137,4983,2813
0.5551705,3271,2825
0.55005944,5037,2826
0.63452506,5024,2827
0.6213156,3477,2830
0.5896153,4654,2831
0.6170173,5062,2832
0.59741485,5053,2834
0.6740325,4905,2844
0.6833085,4906,2845
0.5266438,4935,2852
0.53936434,4936,2853
0.5162227,4975,2858
0.6139036,4976,2859
0.5532812,4922,2895
0.5483499,4924,2896
0.6731825,4926,2897
0.6370935,3383,2902
0.7716651,4952,2903
0.79376525,4954,2904
0.62568444,4979,2909
0.8523448,473,2910
0.91488814,1454,2911
0.73745817,4993,2916
0.8438263,305,2917
0.96939385,4996,2918
0.5876964,5031,2921
0.7024355,5032,2922
0.5833066,3271,2923
0.7865922,5037,2924
0.6398686,5038,2925
0.73028016,3477,2928
0.7530353,4654,2929
0.55711484,3481,2930
0.58371407,3483,2931
0.51671106,5053,2932
0.6372918,4938,3001
0.6578042,3383,3049
0.5214934,4975,3054
0.78504354,3397,3056
0.57241637,3419,3060
0.6407437,4989,3061
0.6043129,4990,3062
0.5778701,4992,3063
0.5355866,1135,3073
0.5614428,4923,3091
