weight,fc,result
0.0011,1024,10
0.0011,0,0
0.017991466,5,2
0.014051536,6,2
0.023870816,11,2
0.054836392,16,2
0.02852803,32,2
0.019313317,35,2
0.02648512,41,2
0.033898186,42,2
0.006484248,47,2
0.01571562,50,2
0.008667415,53,2
0.010772648,58,2
0.010157427,61,2
0.005377884,64,2
0.05280988,69,2
0.009207729,70,2
0.009296172,80,2
0.041447975,91,2
0.009997476,107,2
0.018078437,126,2
0.018758018,136,2
0.026763478,150,2
0.049675927,151,2
0.013195531,153,2
0.014802696,155,2
0.06663051,172,2
0.008084228,173,2
0.016231807,192,2
0.057240404,198,2
0.022426555,200,2
0.027546646,203,2
0.009598054,204,2
0.013548032,209,2
0.04394208,245,2
0.028602205,250,2
0.01829025,257,2
0.008648583,262,2
0.012707295,272,2
0.021235097,283,2
0.012770521,291,2
0.017864803,294,2
0.038156904,296,2
0.014603058,302,2
0.045600295,311,2
0.0355493,316,2
0.041290563,326,2
0.045519903,330,2
0.008688218,331,2
0.035981197,336,2
0.01215466,337,2
0.0167621,342,2
0.046622645,359,2
0.057449713,364,2
0.023395492,373,2
0.013238326,382,2
0.014259085,383,2
0.031480487,389,2
0.007869183,397,2
0.011101229,400,2
0.0148648,410,2
0.013506041,414,2
0.011562907,416,2
0.022681486,425,2
0.034012333,433,2
0.016081778,439,2
0.01869134,440,2
0.036266353,443,2
0.01902909,444,2
0.018767081,446,2
0.020293713,452,2
0.020629412,453,2
0.033975743,460,2
0.0060268813,463,2
0.048789117,473,2
0.029663054,476,2
0.021951009,477,2
0.009632016,490,2
0.025653971,493,2
0.02159521,496,2
0.00742615,529,2
0.036938805,538,2
0.009098946,543,2
0.011223478,548,2
0.020712527,552,2
0.0078026974,565,2
0.022380356,577,2
0.0061552734,584,2
0.0113368025,596,2
0.050794985,603,2
0.02768875,604,2
0.03346002,611,2
0.038170356,618,2
0.0120735215,623,2
0.015027815,624,2
0.020089867,627,2
0.010239559,632,2
0.022060636,641,2
0.015203184,653,2
0.007707424,656,2
0.01543101,659,2
0.018463893,660,2
0.007039064,663,2
0.009050044,673,2
0.0130412625,685,2
0.007443861,703,2
0.044051293,712,2
0.018950367,713,2
0.00819593,721,2
0.015639039,731,2
0.028352005,733,2
0.014771577,737,2
0.060480524,740,2
0.007265524,756,2
0.052487116,764,2
0.031495184,768,2
0.07220123,769,2
0.012609336,770,2
0.008290908,778,2
0.029361801,785,2
0.013925708,787,2
0.022901325,788,2
0.033730637,789,2
0.005719154,791,2
0.018877603,794,2
0.018363042,798,2
0.006248537,799,2
0.028568797,803,2
0.0153774535,806,2
0.0074538714,810,2
0.006188132,832,2
0.061707642,836,2
0.007948166,854,2
0.007843439,861,2
0.028649086,862,2
0.033304326,866,2
0.0060921037,871,2
0.007935857,873,2
0.010731195,877,2
0.0060519343,884,2
0.021632984,894,2
0.00982043,896,2
0.027503489,898,2
0.033327047,899,2
0.014124232,909,2
0.0072926916,923,2
0.070973635,925,2
0.057606768,928,2
0.007947372,947,2
0.05433799,961,2
0.0063398583,962,2
0.09448458,968,2
0.03261287,972,2
0.042670608,976,2
0.038220424,979,2
0.017973142,986,2
0.006850869,992,2
0.01355906,993,2
0.0066304496,995,2
0.009482273,997,2
0.013204753,999,2
0.021774411,1007,2
0.051908333,1010,2
0.007680786,1020,2
0.007652435,1021,2
0.016901849,1022,2
0.00944325,1023,2
